iter	Passed	Remaining
0	5	548
1	10	527
2	14	481
3	19	466
4	24	471
5	28	452
6	33	440
7	37	427
8	41	415
9	45	405
10	49	398
11	53	394
12	58	389
13	63	389
14	67	382
15	71	374
16	75	369
17	79	361
18	83	353
19	86	345
20	90	339
21	93	331
22	97	324
23	100	317
24	103	309
25	106	304
26	110	298
27	114	293
28	117	288
29	121	282
30	124	277
31	127	270
32	131	266
33	134	260
34	137	255
35	141	252
36	146	248
37	149	244
38	153	240
39	157	235
40	160	231
41	164	226
42	168	222
43	170	216
44	174	212
45	177	208
46	181	204
47	185	201
48	189	197
49	193	193
50	197	190
51	201	186
52	204	181
53	207	177
54	211	173
55	214	168
56	217	164
57	221	160
58	224	156
59	228	152
60	232	148
61	235	144
62	238	140
63	241	135
64	245	132
65	248	128
66	252	124
67	255	120
68	259	116
69	263	112
70	266	108
71	270	105
72	275	101
73	278	97
74	281	93
75	284	89
76	287	86
77	291	82
78	295	78
79	298	74
80	302	71
81	306	67
82	309	63
83	312	59
84	315	55
85	318	51
86	322	48
87	326	44
88	330	40
89	333	37
90	337	33
91	340	29
92	344	25
93	348	22
94	351	18
95	355	14
96	359	11
97	363	7
98	366	3
99	370	0
