iter	Passed	Remaining
0	0	903
1	1	876
2	2	829
3	3	815
4	4	801
5	4	811
6	5	817
7	6	810
8	7	813
9	8	815
10	9	817
11	9	815
12	10	808
13	11	806
14	12	803
15	13	819
16	14	817
17	14	816
18	15	812
19	16	809
20	17	812
21	18	812
22	19	811
23	20	813
24	21	820
25	21	817
26	22	814
27	23	810
28	24	806
29	24	802
30	25	801
31	26	803
32	27	801
33	28	799
34	28	797
35	29	795
36	30	791
37	31	790
38	32	789
39	32	787
40	33	785
41	34	784
42	35	785
43	36	786
44	36	785
45	37	785
46	38	783
47	39	780
48	40	786
49	41	788
50	42	785
51	43	784
52	43	781
53	44	779
54	45	779
55	46	779
56	47	779
57	47	776
58	50	798
59	51	800
60	51	799
61	52	800
62	53	800
63	54	802
64	55	801
65	56	798
66	57	796
67	57	794
68	58	792
69	59	790
70	60	787
71	61	786
72	61	784
73	62	782
74	63	779
75	64	779
76	64	778
77	65	778
78	66	776
79	67	774
80	68	772
81	69	772
82	69	768
83	70	768
84	71	766
85	71	763
86	72	761
87	73	761
88	74	760
89	74	757
90	75	756
91	76	756
92	77	755
93	78	754
94	79	753
95	79	752
96	80	751
97	81	750
98	82	750
99	83	750
100	84	749
101	84	748
102	85	747
103	86	746
104	87	745
105	88	744
106	89	743
107	90	744
108	90	743
109	91	743
110	92	742
111	93	741
112	94	740
113	95	739
114	95	738
115	96	736
116	97	734
117	98	732
118	98	731
119	99	731
120	100	730
121	101	727
122	101	726
123	102	725
124	103	723
125	104	722
126	104	719
127	105	718
128	106	717
129	106	715
130	107	714
131	108	714
132	109	714
133	111	718
134	112	717
135	112	717
136	113	716
137	114	715
138	115	714
139	116	713
140	117	712
141	117	710
142	118	709
143	119	709
144	120	708
145	121	708
146	121	707
147	122	706
148	123	705
149	124	705
150	125	705
151	126	704
152	127	704
153	127	702
154	128	701
155	129	700
156	130	699
157	131	698
158	131	697
159	132	697
160	133	694
161	134	694
162	135	693
163	135	692
164	136	691
165	137	691
166	138	690
167	139	690
168	140	690
169	141	689
170	142	689
171	142	688
172	143	687
173	144	686
174	145	685
175	146	684
176	147	683
177	147	683
178	148	682
179	149	681
180	150	680
181	151	678
182	151	677
183	152	676
184	153	675
185	154	674
186	154	673
187	155	672
188	156	672
189	157	671
190	158	669
191	158	668
192	159	666
193	160	665
194	160	663
195	161	662
196	162	660
197	162	660
198	163	658
199	164	657
200	164	655
201	165	654
202	166	653
203	167	652
204	167	650
205	168	649
206	169	647
207	169	646
208	170	645
209	171	643
210	171	642
211	172	640
212	173	639
213	173	637
214	174	636
215	174	635
216	175	633
217	176	632
218	176	630
219	177	629
220	178	627
221	178	626
222	179	625
223	180	624
224	180	623
225	181	621
226	182	620
227	182	619
228	183	617
229	184	616
230	184	615
231	185	614
232	186	613
233	187	612
234	187	610
235	188	609
236	188	608
237	189	607
238	190	606
239	190	604
240	191	603
241	192	602
242	193	601
243	193	600
244	194	599
245	195	597
246	195	596
247	196	595
248	196	593
249	197	592
250	198	591
251	198	590
252	199	589
253	200	588
254	200	586
255	201	585
256	202	584
257	202	582
258	203	581
259	203	580
260	204	579
261	205	578
262	205	576
263	206	575
264	207	575
265	207	573
266	208	573
267	209	571
268	210	570
269	210	569
270	211	568
271	211	567
272	212	565
273	213	564
274	213	563
275	214	562
276	215	561
277	215	560
278	216	559
279	217	558
280	217	557
281	218	555
282	218	554
283	219	553
284	220	552
285	220	551
286	221	550
287	222	549
288	222	548
289	223	547
290	224	546
291	224	545
292	225	544
293	226	542
294	226	541
295	227	540
296	227	539
297	228	538
298	229	537
299	229	536
300	230	535
301	231	534
302	231	533
303	232	532
304	233	532
305	234	532
306	235	531
307	236	530
308	236	529
